Geneid	Chrom	Start	End	Length	chr.1	start.1	end.1	width.1	strand.1	genes	GeneSymbol	annotation
Interval_94737	chr6	71446063	71447060	998	6	71451992	71458998	7007	+	ENSMUSG00000108213	Gm44172	Distal Intergenic
Interval_94765	chr6	71972849	71974138	1290	6	71909053	71984935	75883	+	ENSMUSG00000049553	Polr1a	Exon (ENSMUST00000055296.10/ENSMUSG00000049553.11, exon 29 of 34)
Interval_94783	chr6	72139546	72141323	1778	6	72097592	72154571	56980	+	ENSMUSG00000056091	St3gal5	Intron (ENSMUST00000069994.10/ENSMUSG00000056091.12, intron 3 of 6)
Interval_9488	chr10	21565399	21566072	674	10	21593145	21622376	29232	+	ENSMUSG00000050844	1700020N01Rik	Distal Intergenic
Interval_95505	chr6	88677025	88677784	760	6	88716422	88725860	9439	-	ENSMUSG00000097730	Gm26588	Distal Intergenic
Interval_96759	chr6	115697349	115698316	968	6	115675968	115677780	1813	+	ENSMUSG00000107994	D830050J10Rik	Distal Intergenic
Interval_9683	chr10	25403738	25405007	1270	10	25359798	25523519	163722	+	ENSMUSG00000019978	Epb41l2	Intron (ENSMUST00000053748.14/ENSMUSG00000019978.15, intron 1 of 19)
Interval_96946	chr6	118179122	118180036	915	6	118151745	118197718	45974	-	ENSMUSG00000030110	Ret	Exon (ENSMUST00000032201.7/ENSMUSG00000030110.13, exon 5 of 20)
Interval_97468	chr6	125460693	125461846	1154	6	125460266	125494791	34526	-	ENSMUSG00000030342	Cd9	Promoter (1-2kb)
Interval_97880	chr6	130062839	130063187	349	6	130043731	130067271	23541	-	ENSMUSG00000079852	Klra4	Exon (ENSMUST00000119096.1/ENSMUSG00000079852.4, exon 3 of 7)
Interval_97882	chr6	130066857	130067834	978	6	130043731	130067271	23541	-	ENSMUSG00000079852	Klra4	Promoter (<=1kb)
Interval_97884	chr6	130096275	130096952	678	6	130082897	130094676	11780	-	ENSMUSG00000072717	Klra11-ps	Promoter (1-2kb)
Interval_97891	chr6	130308173	130308918	746	6	130290878	130306428	15551	-	ENSMUSG00000030178	Klra13-ps	Promoter (1-2kb)
Interval_98038	chr6	134862687	134863476	790	6	134830154	134858931	28778	+	ENSMUSG00000032652	Crebl2	Distal Intergenic
Interval_98086	chr6	135229847	135231062	1216	6	135197977	135244955	46979	+	ENSMUSG00000030207	Fam234b	Promoter (<=1kb)
Interval_9830	chr10	34131287	34131979	693	10	34126067	34127984	1918	-	ENSMUSG00000046031	Calhm6	Distal Intergenic
Interval_98828	chr6	147010114	147011067	954	6	146888487	147032025	143539	+	ENSMUSG00000016487	Ppfibp1	Promoter (<=1kb)
Interval_99060	chr7	4141717	4141996	280	7	4137039	4148177	11139	+	ENSMUSG00000035545	Leng8	Promoter (<=1kb)
Interval_99519	chr7	19011629	19012638	1010	7	19013284	19023538	10255	-	ENSMUSG00000040891	Foxa3	Distal Intergenic
Interval_9992	chr10	39686547	39687328	782	10	39621412	39732007	110596	-	ENSMUSG00000087177	E130307A14Rik	Intron (ENSMUST00000129191.7/ENSMUSG00000087177.7, intron 1 of 3)
